ir
ab-rogar
ababadar
abafar
abaixar
abalar
abalizar
abalroar
abanar
abancar
abandonar
abar
abarcar
abarrotar
abastar
abastecer
abater
abaular
abdicar
abduzir
abeberar
abecedar
abeirar
abençoar
abismar
abitar
abjurar
abluir
abnegar
abocanhar
aboiar
abolar
abolir
abominar
abonar
abordar
aborrecer
abortar
abotoar
abracar
abraçar
abrandar
abranger
abrasar
abreviar
abrigar
abrilhantar
abrir
abrocadar
absolver
absorver
abster
abstrair
abundar
abusar
acabar
acaber
acabrunhar
acaçapar
acalentar
acalmar
acalorar
acamar
acampar
acanhar
acantoar
acarar
acarear
acariciar
acarinhar
acarretar
acartar
acasalar
acatar
acautelar
aceder
aceirar
aceitar
acelerar
acenar
acendear
acender
acentuar
acercar
acertar
acessar
acetar
achacar
achar
acharar
achatar
achegar
achincalhar
acicatar
acidar
acidentar
acionar
acirrar
aclamar
aclarar
acoar
acobertar
acochar
acocorar
açodar
acoimar
acoitar
açoitar
acolher
acolitar
acometer
acomodar
acompanhar
acompassar
aconchegar
acondicionar
aconselhar
acontecer
acoplar
acordar
acorrentar
acorrer
acossar
acostar
acostumar
acovardar
acrecer
acreditar
acrescentar
acrescer
activar
actualizar
actuar
acuar
açucarar
acudir
açular
acumular
acurar
acusar
adaptar
adejar
adentrar
adequar
aderir
adernar
adestrar
adiantar
adiar
adicionar
adimplir
adir
aditar
aditivar
adivinhar
adjazer
adjetivar
adjudicar
adjuntar
administrar
admirar
admitir
admoestar
adoçar
adocicar
adoecer
adoptar
adorar
adormecer
adornar
adotar
adquirir
adstringir
adubar
adular
adulterar
aduzir
adversar
advertir
advir
advocar
advogar
afadigar
afagar
afamar
afanar
afastar
afazendar
afazer
afear
afectar
afeiçoar
afeitar
aferir
aferrar
afetar
afiançar
afiar
afigurar
afiliar
afinar
afirmar
afivelar
afixar
aflar
afligir
aflorar
afluir
afobar
afofar
afogar
afoitar
aforar
afrontar
afrouxar
afugentar
afundar
afunilar
agachar
agarrar
agasalhar
agastar
agenciar
agendar
agigantar
agilizar
agiotar
agir
agitar
aglomerar
aglutinar
agoniar
agonizar
agourar
agraciar
agradar
agradecer
agravar
agredir
agregar
agrupar
aguantar
aguar
aguardar
aguçar
agudar
aguentar
aguerrir
aiar
ajeitar
ajoelhar
ajudar
ajuizar
ajuntar
ajustar
alagar
alar
alardar
alardear
alargar
alarmar
alastrar
alavancar
albergar
alcançar
alçar
alcoolizar
alcunhar
alegar
alegrar
aleijar
alembrar
alentar
alertar
alevantar
alfabetar
alfabetizar
alfinetar
alforriar
algemar
alhear
aliançar
aliar
alicerçar
aliciar
alienar
alijar
alimentar
alindar
alinhar
alinhavar
alisar
alistar
aliviar
almejar
almoçar
almorçar
alocar
alojar
alongar
aloprar
altear
alterar
altercar
alternar
alucinar
aludir
alugar
aluir
alumiar
alunar
alveitar
alvejar
alvitrar
alvorecer
alvoroçar
amaçar
amaciar
amadurar
amadurecer
amainar
amaldiçoar
amalgamar
amamentar
amandar
amanhar
amanhecer
amansar
amaquiar
amar
amaranhar
amarar
amarelar
amarelecer
amargar
amargurar
amarrar
amarrotar
amassar
ambicionar
ambientar
ambular
ameaçar
amealhar
amedrontar
amenizar
amestrar
amigar
amimar
amiudar
amofinar
amolar
amoldar
amolecer
amontoar
amorar
amordaçar
amorenar
amornar
amortecer
amossar
amostar
amostrar
amotinar
amparar
ampliar
amplificar
amputar
amuar
analisar
ancorar
andaimar
andar
andarilhar
andejar
andoar
anelar
anestesiar
anexar
angariar
angustiar
animar
aninhar
aniquilar
anistiar
aniversariar
anoitecer
anotar
ansiar
antagonizar
antar
anteceder
antecipar
antedar
antepor
antever
antipatizar
anuir
anular
anunciar
anuviar
apadrinhar
apagar
apaixonar
apalpar
apanhar
aparar
aparecer
aparelhar
aparentar
apartar
apartear
apascentar
apavorar
apaziguar
apear
apedrejar
apegar
apelar
apelidar
apenar
apender
apensar
apequenar
aperceber
aperfeiçoar
aperrear
apertar
apetecer
apiedar
apimentar
apinhar
apitar
aplacar
aplainar
aplanar
aplaudir
aplicar
apoderar
apodrecer
apoiar
apontar
apoquentar
apor
aporrinhar
aportar
aposentar
apossar
apostar
apostatar
apostilar
apoucar
aprazar
aprazer
apreçar
apreciar
apreender
apregoar
aprender
apresar
apresentar
apressar
aprestar
aprimorar
aprisionar
aprofundar
aprontar
apropinquar
apropriar
aprovar
aproveitar
aprovisionar
aproximar
aprumar
aptar
apunhalar
apupar
apurar
aquebrantar
aquecer
aquelar
aquentar
aquetar
aquiescer
aquietar
aquinhoar
aranhar
arar
arbitrar
arcar
arder
arear
arejar
arengar
arfar
arguir
argumentar
ariar
ariscar
armar
armazenar
aromar
aromatizar
arpoar
arquear
arquejar
arquitetar
arquivar
arraigar
arramar
arrancar
arranchar
arranhar
arranjar
arrasar
arrastar
arrazoar
arrear
arrebatar
arrebentar
arrebitar
arrecadar
arredar
arredondar
arrefecer
arregaçar
arregalar
arregar
arregimentar
arreglar
arrematar
arremedar
arremessar
arremeter
arrendar
arrepender
arrepiar
arrestar
arriar
arribar
arrimar
arriscar
arrochar
arrodear
arrogar
arrojar
arrolar
arrombar
arrostar
arrotar
arroxar
arruinar
arrulhar
arrumar
articular
artilhar
arvorar
arxar
asar
ascender
asfixiar
asilar
asir
aspergir
aspirar
assalariar
assaltar
assanhar
assar
assassinar
assear
assediar
assegurar
assemelhar
assenhorear
assentar
assentir
assertar
assessorar
assestar
asseverar
assimilar
assinalar
assinar
assisar
assistir
assoalhar
assoar
assobiar
associar
assolar
assomar
assombrar
assoprar
assoviar
assuar
assumir
assuntar
assustar
atacar
atalhar
atar
atarantar
ataviar
atazanar
atear
atemorizar
atender
atentar
atenuar
ater
atermar
aterrar
aterrissar
aterrizar
aterrorizar
atestar
aticar
atiçar
atinar
atingir
atirar
ativar
atoar
atochar
atolar
atorar
atordoar
atormentar
atracar
atraiçoar
atrair
atrapalhar
atrasar
atravancar
atravessar
atrelar
atrever
atribuir
atribular
atritar
atrofiar
atropelar
atualizar
atuar
atucanar
aturar
aturdir
auditar
auferir
augurar
aumentar
auscultar
ausentar
autenticar
auto-afirmar
autoconhecer
autodestruir
autodiagnosticar
autografar
automatizar
automedicar
autoproclamar
autorizar
autuar
auxiliar
avacalhar
avaliar
avalizar
avançar
avantajar
avariar
avençar
aventar
aventurar
averbar
averiguar
avermelhar
avessar
avexar
aviar
aviltar
avir
avisar
avistar
avivar
avizinhar
avoar
avocar
avolumar
avultar
azar
azarar
azedar
azucrinar
azular
babar
babujar
badalar
baforar
bagunçar
baicar
bailar
baixar
bajar
bajular
balançar
balancear
balar
balbuciar
balburdiar
baldar
baldear
balear
balir
balizar
bambear
banalizar
bancar
bandear
banhar
banir
banquetear
baquear
baralhar
baratear
barbear
barganhar
barrar
barrer
basar
basear
bastar
batalhar
bater
batizar
batucar
bazar
bebemorar
beber
beberar
bebericar
beijar
beijocar
beirar
beliscar
bem-dizer
bem-fazer
bem-querer
bendizer
beneficiar
benquerer
benzer
berrar
bestar
besuntar
betar
bicar
bifurcar
birrar
bisar
bisbilhotar
biscar
blasfemar
blefar
blindar
bloquear
bobear
bocar
bocejar
bochechar
bodar
boiar
boicotar
bolar
bolear
bolinar
bolsar
bombar
bombardear
bombear
bonecar
bonificar
borboletar
borbulhar
bordar
borrar
borrifar
botar
bracejar
bradar
bramar
bramir
brandar
brandir
branquear
branquir
bravar
brecar
brigar
brilhar
brincalhotar
brincar
brindar
brisar
brocar
brochar
bronquear
bronzear
broquear
brotar
brunir
bruxulear
bufar
buir
bulir
bundar
burlar
burrar
buscar
buzinar
cabeçar
cabecear
cabedar
caber
cablar
cabular
caçar
cacarejar
cacetar
cachear
caçoar
cadastrar
cadenciar
caducar
